2018020446,6,home,True,REG,Bruce Cassidy,6,32,24,58,4.0,1.0,47.1,12,12,13
2018020446,10,away,False,REG,Mike Babcock,3,32,21,40,2.0,1.0,52.9,9,26,8
2018020468,12,home,False,REG,Rod Brind'Amour,1,30,24,8,5.0,1.0,57.4,21,16,17
2018020468,10,away,True,REG,Mike Babcock,4,29,16,10,4.0,0.0,42.6,12,9,19
2018020482,14,home,True,REG,Jon Cooper,4,21,27,14,3.0,1.0,45.6,12,6,23
2018020482,10,away,False,REG,Mike Babcock,1,49,19,8,6.0,0.0,54.4,4,6,16
2018020497,13,home,True,OT,Bob Boughner,4,33,24,20,4.0,2.0,49.2,25,16,22
2018020497,10,away,False,OT,Mike Babcock,3,32,12,10,4.0,0.0,50.8,8,9,12
2018020518,1,home,False,REG,John Hynes,2,29,14,6,3.0,0.0,52.5,12,4,6
2018020518,10,away,True,REG,Mike Babcock,7,31,6,6,3.0,0.0,47.5,6,9,9
2018020531,10,home,True,REG,Mike Babcock,6,26,9,6,3.0,3.0,50.9,11,17,13
2018020531,13,away,False,REG,Bob Boughner,1,26,30,6,3.0,1.0,49.1,24,8,22
2018020552,10,home,True,REG,Mike Babcock,5,36,13,4,2.0,0.0,62.7,14,9,12
2018020552,3,away,False,REG,David Quinn,3,28,27,4,2.0,0.0,37.3,9,6,15
2018020563,10,home,True,OT,Mike Babcock,5,24,13,6,2.0,0.0,48.1,15,6,8
2018020563,17,away,False,OT,Jeff Blashill,4,30,29,4,3.0,0.0,51.9,10,8,9
2018020582,29,home,False,REG,John Tortorella,2,29,24,6,2.0,0.0,41.9,5,9,12
2018020582,10,away,True,REG,Mike Babcock,4,29,8,6,2.0,1.0,58.1,10,10,17
2018020588,10,home,False,REG,Mike Babcock,0,36,15,6,2.0,0.0,58.7,15,9,11
2018020588,2,away,True,REG,Barry Trotz,4,28,23,4,3.0,1.0,41.3,12,8,19
2018020621,10,home,False,REG,Mike Babcock,3,41,17,4,4.0,0.0,62.3,16,6,13
2018020621,30,away,True,REG,Bruce Boudreau,4,34,16,10,1.0,0.0,37.7,7,6,18
2018020639,10,home,True,REG,Mike Babcock,5,34,21,6,0.0,0.0,60.7,11,13,18
2018020639,23,away,False,REG,Travis Green,0,28,26,0,3.0,0.0,39.3,7,8,19
2018020652,10,home,False,REG,Mike Babcock,0,18,18,4,3.0,0.0,45.7,13,3,15
2018020652,18,away,True,REG,Peter Laviolette,4,32,31,6,2.0,1.0,54.3,8,10,23
2018020672,1,home,False,REG,John Hynes,2,29,15,6,2.0,0.0,52.6,9,6,9
2018020672,10,away,True,REG,Mike Babcock,4,43,9,8,1.0,0.0,47.4,3,10,8
2018020690,10,home,False,REG,Mike Babcock,2,32,28,4,2.0,1.0,51.7,18,9,11
2018020690,6,away,True,REG,Bruce Cassidy,3,29,29,4,2.0,0.0,48.3,12,2,20
2018020706,10,home,False,REG,Mike Babcock,3,20,13,6,2.0,0.0,61.1,6,2,14
2018020706,21,away,True,REG,Jared Bednar,6,38,25,6,2.0,0.0,38.9,8,5,14
