2018020001_80,2018020001,80,8476479,Blocker
2018020001_80,2018020001,80,8475166,Shooter
2018020001_81,2018020001,81,8476469,Hitter
2018020001_81,2018020001,81,8468493,Hittee
2018020001_83,2018020001,83,8479318,Winner
2018020001_83,2018020001,83,8480829,Loser
2018020001_85,2018020001,85,8475172,Winner
2018020001_85,2018020001,85,8477503,Loser
2018020001_87,2018020001,87,8475172,Winner
2018020001_87,2018020001,87,8477503,Loser
2018020001_88,2018020001,88,8479376,Hitter
2018020001_88,2018020001,88,8476410,Hittee
2018020001_89,2018020001,89,8477503,Hitter
2018020001_89,2018020001,89,8476410,Hittee
2018020001_90,2018020001,90,8477476,Blocker
2018020001_90,2018020001,90,8480943,Shooter
2018020001_91,2018020001,91,8477494,Hitter
2018020001_91,2018020001,91,8477953,Hittee
2018020001_92,2018020001,92,8476443,PlayerID
2018020001_93,2018020001,93,8476948,Hitter
2018020001_93,2018020001,93,8479458,Hittee
2018020001_94,2018020001,94,8479458,PlayerID
2018020001_95,2018020001,95,8474581,Hitter
2018020001_95,2018020001,95,8476285,Hittee
2018020001_96,2018020001,96,8476381,Hitter
2018020001_96,2018020001,96,8479458,Hittee
2018020001_97,2018020001,97,8475166,Blocker
2018020001_97,2018020001,97,8478454,Shooter
2018020001_98,2018020001,98,8479318,PlayerID
2018020001_99,2018020001,99,8475193,Hitter
2018020001_99,2018020001,99,8479318,Hittee
2018020001_100,2018020001,100,8468493,Hitter
2018020001_100,2018020001,100,8476479,Hittee
2018020001_101,2018020001,101,8474589,Shooter
2018020001_101,2018020001,101,8471679,Goalie
2018020001_106,2018020001,106,8479318,Winner
2018020001_106,2018020001,106,8477503,Loser
2018020001_108,2018020001,108,8476479,Winner
2018020001_108,2018020001,108,8475166,Loser
2018020001_109,2018020001,109,8476422,Shooter
2018020001_109,2018020001,109,8475883,Goalie
2018020001_110,2018020001,110,8475848,Shooter
2018020001_110,2018020001,110,8475883,Goalie
2018020001_111,2018020001,111,8478483,PlayerID
2018020001_112,2018020001,112,8476479,PlayerID
2018020001_113,2018020001,113,8475193,Hitter
2018020001_113,2018020001,113,8475166,Hittee
2018020001_114,2018020001,114,8475848,Shooter
2018020001_114,2018020001,114,8475883,Goalie
2018020001_115,2018020001,115,8474818,Hitter
2018020001_115,2018020001,115,8475172,Hittee
2018020001_116,2018020001,116,8476381,Blocker
2018020001_116,2018020001,116,8477953,Shooter
2018020001_117,2018020001,117,8479458,Shooter
2018020001_117,2018020001,117,8471679,Goalie
2018020001_118,2018020001,118,8473507,Hitter
2018020001_118,2018020001,118,8477953,Hittee
2018020001_119,2018020001,119,8479458,Hitter
2018020001_119,2018020001,119,8476381,Hittee
2018020001_120,2018020001,120,8478408,Shooter
2018020001_120,2018020001,120,8471679,Goalie
2018020001_121,2018020001,121,8478454,PlayerID
2018020001_122,2018020001,122,8474589,Shooter
2018020001_124,2018020001,124,8475166,Winner
2018020001_124,2018020001,124,8477503,Loser
2018020001_125,2018020001,125,8477503,Blocker
2018020001_125,2018020001,125,8478483,Shooter
2018020001_126,2018020001,126,8477476,PenaltyOn
2018020001_126,2018020001,126,8475166,DrewBy
2018020001_127,2018020001,127,8476479,Winner
2018020001_127,2018020001,127,8476410,Loser
2018020001_128,2018020001,128,8466139,Shooter
2018020001_128,2018020001,128,8471679,Goalie
2018020001_130,2018020001,130,8475166,Winner
2018020001_130,2018020001,130,8476479,Loser
2018020001_132,2018020001,132,8475166,Winner
2018020001_132,2018020001,132,8476479,Loser
2018020001_133,2018020001,133,8476479,Winner
2018020001_133,2018020001,133,8475166,Loser
